id,field,path,path_rad,path_model,beam_pa,beam_maj,beam_min,center_x,center_y,Distance,Rmax_frank,B8_Flux,isbinary,rms_data,rms_model_profile,Class,Features,R_zoom,rms_model_percentage,Stage,Group
0,iso-oph_123,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_123_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ISO-Oph_123_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_123_frank_model.fits,-88.46908,0.06534,0.05455,16:27:17.5744,-24:05:14.300,136.58,0.5,28.9,0,0.00038,4003099394.32577,II,Smooth,0.25,0.088586566170015,0,0+II
1,iso-oph_13,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_13_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ISO-Oph_13_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_13_frank_model.fits,86.27869,0.06455,0.05194,16:26:07.032,-24:27:24.800,139.4,0.5,25.1,0,0.00039,4367702778.83606,II,Smooth,0.3,0.147875632051979,0,0+II
2,iso-oph_193,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_193_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ISO-Oph_193_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_193_frank_model.fits,-86.48737,0.06742,0.0551,16:28:12.713,-24:11:36.340,151.74,0.5,11.57,0,0.00047,4750553056.10056,II,Smooth,0.25,0.051123363461826,0,0+II
3,iso-oph_208,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_208_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ISO-Oph_208_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ISO-Oph_208_frank_model.fits,77.19341,0.06774,0.05403,16:31:59.319,-24:54:41.140,152.16,0.5,57.1,0,0.00037,3795842867.97542,II,Gap,0.5,0.04475803463792,2,2+II
4,odisea_c4_001,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_001_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_001_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_001_frank_model.fits,79.52281,0.0649,0.05259,16:21:31.918,-23:01:40.890,137.0,0.5,12.8,0,0.00047,5170548929.41053,II,Smooth,0.5,0.168533174272956,0,0+II
5,odisea_c4_007,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_007_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_007_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_007_frank_model.fits,79.23988,0.06527,0.05292,16:22:24.951,-23:29:55.550,138.33,0.5,40.6,0,0.00041,4456942902.77622,II,Smooth,0.25,0.051239551320193,0,0+II
6,odisea_c4_009,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_009_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_009_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_009_frank_model.fits,79.9478,0.06323,0.05163,16:23:05.416,-23:02:57.610,139.4,0.5,17.7,0,0.00047,5405790528.48075,I_F,Smooth,0.3,0.072089702423666,0,0+I_F
7,odisea_c4_016a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_016A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_016A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_016A_frank_model.fits,83.70428,0.06517,0.05202,16:25:02.115,-24:59:32.952,142.04,0.5,35.1,1,0.00027,2990421161.06375,II,Cavity,0.25,0.098998998669164,4,4+II
8,odisea_c4_016b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_016B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_016B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_016B_frank_model.fits,83.44037,0.06613,0.05255,16:25:02.008,-24:59:33.180,142.04,0.25,23.7,1,0.00026,2809239503.51781,II,Cavity,0.25,0.058617909872863,4,4+II
9,odisea_c4_017,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_017_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_017_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_017_frank_model.fits,86.65923,0.06426,0.05185,16:25:06.905,-23:50:50.970,144.45,0.5,14.4,0,0.00048,5409266984.2387,II,Smooth,0.25,0.092025811648364,0,0+II
10,odisea_c4_018,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_018_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_018_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_018_frank_model.fits,85.40572,0.06272,0.05091,16:25:24.339,-24:29:45.010,133.59,0.5,36.5,0,0.00041,4821269095.05347,II,Smooth,0.25,0.059424581855825,0,0+II
11,odisea_c4_021,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_021_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_021_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_021_frank_model.fits,86.69376,0.06424,0.05155,16:25:36.729,-24:15:43.160,142.87,0.5,20.4,0,0.00031,3514909551.4537,II,Smooth,0.15,0.02536594598774,0,0+II
12,odisea_c4_032,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_032_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_032_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_032_frank_model.fits,-88.38823,0.06558,0.05459,16:26:17.0638,-24:20:22.210,134.27,0.5,20.72,0,0.00035,3670880100.31157,II,Smooth,0.2,0.039295200211188,0,0+II
13,odisea_c4_037a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_037A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_037A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_037A_frank_model.fits,-87.03925,0.06712,0.05535,16:26:23.4278,-24:21:01.920,125.69,0.5,52.0,1,0.00028,2829926266.98938,II,Smooth,0.2,0.011777498699868,0,0+II
14,odisea_c4_037b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_037B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_037B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_037B_frank_model.fits,-87.05835,0.06758,0.05501,16:26:23.359,-24:21:00.170,125.69,0.5,42.38,1,0.00028,2828035526.56065,II,Smooth,0.2,0.009492853769262,0,0+II
15,odisea_c4_043,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_043_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_043_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_043_frank_model.fits,83.75867,0.06508,0.05223,16:26:27.536,-24:41:54.041,139.4,0.25,29.9,0,0.00041,4529006547.66136,I_F,Gap,0.25,0.044714205778192,2,2+I_F
16,odisea_c4_045,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_045_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_045_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_045_frank_model.fits,-87.3928,0.06592,0.05469,16:26:36.827,-24:15:52.483,136.11,0.5,64.9,0,0.00028,2916215212.98614,I_F,Cavity,0.3,0.11030252449498,5,5+I_F
17,odisea_c4_046,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_046_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_046_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_046_frank_model.fits,-86.60828,0.06768,0.05508,16:26:37.7828,-24:23:01.290,139.4,0.5,23.3,0,0.0004,4028954581.87515,I_F,Smooth,0.25,0.087341188857492,0,0+I_F
18,odisea_c4_049,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_049_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_049_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_049_frank_model.fits,-86.63406,0.066,0.05456,16:26:42.138,-24:31:03.490,139.4,0.5,22.8,0,0.00034,3545253396.64177,I_F,Smooth,0.25,0.026862656508462,0,0+I_F
19,odisea_c4_050a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_050A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_050A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_050A_frank_model.fits,-84.96351,0.06766,0.05449,16:26:42.8383,-24:20:30.580,136.74,0.5,32.9,1,0.00034,3462715234.1032,II,Smooth,0.25,0.029604110941119,0,0+II
20,odisea_c4_050b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_050B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_050B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_050B_frank_model.fits,-85.75087,0.06775,0.05393,16:26:42.940,-24:20:30.105,136.74,0.5,6.58,1,0.00039,4007850831.52855,II,Smooth,0.15,0.069193728686698,0,0+II
21,odisea_c4_052,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_052_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_052_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_052_frank_model.fits,-86.82033,0.0662,0.05463,16:26:46.4284,-24:12:00.610,109.54,0.5,18.72,0,0.00028,2907070093.36695,II,Smooth,0.15,0.016614424019515,0,0+II
22,odisea_c4_056,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_056_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_056_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_056_frank_model.fits,-85.97722,0.06786,0.05509,16:26:51.9598,-24:30:40.190,139.4,0.5,18.5,0,0.00043,4318853671.56739,I_F,Smooth,0.25,0.087230387920991,0,0+I_F
23,odisea_c4_060,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_060_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_060_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_060_frank_model.fits,-86.41862,0.06725,0.05493,16:26:56.7665,-24:13:52.100,133.9,0.5,43.4,0,0.00032,3252630668.38244,II,Smooth,0.3,0.054059169225634,0,0+II
24,odisea_c4_065,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_065_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_065_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_065_frank_model.fits,-85.25631,0.06748,0.05483,16:27:04.116,-24:28:30.940,139.4,0.5,40.2,0,0.00034,3450422357.13836,I_F,Cavity,0.2,0.042259604443693,4,4+I_F
25,odisea_c4_071,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_071_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_071_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_071_frank_model.fits,83.74222,0.0645,0.05205,16:27:09.3398,-24:40:23.090,139.4,0.5,23.2,0,0.00043,4809220271.29689,I_F,Smooth,0.2,0.088418394962698,0,0+I_F
26,odisea_c4_074,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_074_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_074_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_074_frank_model.fits,-85.8132,0.06725,0.05487,16:27:13.7211,-24:18:17.490,136.59,0.5,16.9,0,0.00031,3154431543.33064,II,Smooth,0.15,0.025043242203408,0,0+II
27,odisea_c4_076,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_076_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_076_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_076_frank_model.fits,-85.86671,0.06685,0.05476,16:27:14.4885,-24:26:46.660,139.4,0.5,14.2,0,0.00031,3179680655.35081,I_F,Smooth,0.2,0.026266751822833,0,0+I_F
28,odisea_c4_078a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_078A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_078A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_078A_frank_model.fits,-84.73828,0.06779,0.05439,16:27:15.4441,-24:26:40.330,139.4,0.15,17.4,1,0.0003,3055084479.70102,I_F,Smooth,0.15,0.013797711144732,0,0+I_F
29,odisea_c4_078b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_078B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_078B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_078B_frank_model.fits,-85.95422,0.06776,0.05377,16:27:15.433,-24:26:40.540,139.4,0.13,9.46,1,0.00031,3194735605.12742,I_F,Smooth,0.13,0.032176308377638,0,0+I_F
30,odisea_c4_080,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_080_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_080_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_080_frank_model.fits,-86.10946,0.06664,0.05469,16:27:15.8713,-24:25:14.670,139.4,0.5,12.4,0,0.0004,4121010693.70704,I_F,Smooth,0.2,0.06880899940109,0,0+I_F
31,odisea_c4_081,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_081_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_081_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_081_frank_model.fits,-85.6869,0.06832,0.05502,16:27:16.391,-24:31:15.219,139.4,0.5,60.7,0,0.00028,2796895560.19498,I_F,Cavity,0.25,0.043800640564251,5,5+I_F
32,odisea_c4_082a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_082A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_082A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_082A_frank_model.fits,-85.77137,0.06676,0.05458,16:27:17.5781,-24:28:56.990,139.4,0.5,31.58,0,0.00037,3812751728.71273,I_F,Smooth,0.2,0.015891999215544,0,0+I_F
